,Unnamed: 0,Unnamed: 0.1,French,English
0,0,1,histoire,history
1,1,2,chercher,search
2,2,4,police,police
3,3,5,pensais,thought
4,4,6,aide,help
5,5,7,genre,kind
6,6,8,mois,month
7,7,9,frère,brother
8,8,10,laisser,let
9,9,11,car,because
10,10,12,mettre,to put
11,11,13,aucun,no
12,12,14,laisse,leash
13,13,15,eux,them
14,14,16,ville,city
15,15,18,parlé,speak
16,16,19,arrivé,come
17,17,20,devrait,should
18,18,21,bébé,baby
19,19,22,longtemps,long time
20,20,23,heures,hours
21,21,24,vont,will
22,22,25,pendant,while
23,23,26,revoir,meet again
24,24,27,place,square
25,25,28,parle,speak
26,26,29,compris,understood
27,27,30,savais,knew
28,28,31,étaient,were
29,29,32,attention,Warning
30,30,33,voici,here is
31,31,34,pourrais,could
32,32,35,affaire,case
33,33,36,donner,give
34,34,37,type,type
35,35,38,leurs,their
36,36,39,donné,given
37,37,40,train,train
38,38,41,corps,body
39,40,43,yeux,eyes
40,41,44,façon,way
41,42,45,écoute,listen
42,43,46,dont,whose
43,44,47,trouve,find
44,45,48,premier,first
45,46,49,perdu,lost
46,47,50,première,first
47,48,51,côté,side
48,49,52,pouvoir,power
49,50,53,vieux,old
50,51,54,sois,be
51,52,55,tiens,here
52,53,56,matin,morning
53,54,57,tellement,so much
54,55,58,enfant,child
55,56,59,point,point
56,57,60,venu,came
57,58,61,suite,after
58,59,62,pardon,sorry
59,60,63,venez,come
60,61,64,devant,in front of
61,62,65,vers,towards
62,63,66,minutes,minutes
63,64,67,demandé,request
64,65,68,chambre,bedroom
65,66,69,mis,placed
66,67,70,droit,law
67,68,71,aimerais,would like to
68,69,72,aujourd'hui,today
69,70,73,mari,husband
70,71,74,cause,cause
71,72,75,enfin,finally
72,73,76,espère,hope
73,74,77,eau,water
74,75,78,attendez,Wait
75,76,79,parti,left
76,77,80,nouvelle,new
77,78,81,boulot,job
78,80,83,terre,Earth
79,81,84,compte,account
80,82,86,loin,far
81,83,87,fin,end
82,84,88,croire,believe
83,85,90,gros,large
84,86,91,plutôt,rather
85,87,92,aura,will have
86,88,93,filles,girls
87,89,94,jouer,to play
88,90,95,bureau,office
